,index,Topic,Sentiment,TweetId,TweetDate,TweetText,Sentiment
23,463,apple,3,125360952878182400,Sun Oct 16 00:02:35 +0000 2011,Too many iPhones.  @apple @dcoult #FirstWorldProblems http://t.co/Ck4yfFSY,3
24,1684,twitter,0,126861410864087042,Thu Oct 20 03:24:51 +0000 2011,Who the hell uses #twitter on a tv man. #panasonic #epicfail.,0
25,2094,google,2,126498584110710784,Wed Oct 19 03:23:07 +0000 2011,#GalaxyNexus es presentado oficialmente. http://t.co/dwUWIYWC | Conoce los detalles del nuevo teléfono de #Google,2
26,2282,google,2,126487738294861824,Wed Oct 19 02:40:01 +0000 2011,Okay its officially a #sausagefest here @thursdays it really makes no sense based on the feedback from #google?? Moving on...,2
27,1628,twitter,0,126882761733705728,Thu Oct 20 04:49:42 +0000 2011,"RT @FuckingShinez: #Twitter = #Dead ""this is why im never on it now""",0
28,406,apple,3,125595441562783744,Sun Oct 16 15:34:21 +0000 2011,@apple How much is the student discount on the MacBook Air in Canada? Your reps have said both $50 and $100. Which is it? Thanks! #laptop,3
29,1477,microsoft,0,126718833493938176,Wed Oct 19 17:58:18 +0000 2011,#Microsoft #Dynamics #NAV is a cesspit. Extreme consultingware. To be avoided...,0
30,729,apple,1,125561950376701952,Sun Oct 16 13:21:16 +0000 2011,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,1
31,29,apple,3,126368680459251712,Tue Oct 18 18:46:55 +0000 2011,Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw,3
32,893,apple,0,126018120983904256,Mon Oct 17 19:33:56 +0000 2011,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN,0
33,2150,google,2,126493540053303296,Wed Oct 19 03:03:04 +0000 2011,#Google Sit and Go Center Method For Profitable Sit-N-Go’s on PokerStars: http://t.co/6PwI0rjZ -Co... http://t.co/JCqPi1hS #wikileaks,2
34,1313,google,0,126494319749238784,Wed Oct 19 03:06:10 +0000 2011,dear #google & #samsung... learn some presentation 101 first. please.,0
35,2080,google,2,126499835481292801,Wed Oct 19 03:28:05 +0000 2011,El nuevo #Android de #Google: #GalaxyNexus con #IceCreamSandwich 4.0... http://t.co/FITenr0v,2
36,1614,twitter,1,126860944352612353,Thu Oct 20 03:23:00 +0000 2011,#twitter i love you!,1
37,1087,google,1,126533268119109632,Wed Oct 19 05:40:56 +0000 2011,@Tita_Ramos #Google it =),1
38,810,apple,0,126334597431697408,Tue Oct 18 16:31:29 +0000 2011,@APPLE Wow @MOTOROLA Just crushed your dreams....,0
39,1138,google,1,126509929619132417,Wed Oct 19 04:08:12 +0000 2011,"#Android #Google Ice Cream Sandwich Feature Closer Look - Roboto Type Face Is ""A Pleasure"" To Read http://t.co/DJsp2G5B #DhilipSiva",1
40,1389,microsoft,1,126689007512993792,Wed Oct 19 15:59:47 +0000 2011,Zune Music arrives in Canada! http://t.co/CJJ12v4I #microsoft #music #news,1
41,1991,google,2,126515695352688640,Wed Oct 19 04:31:06 +0000 2011,Surfactants pdf ebook:  http://t.co/mnPp2jjm #google,2
42,2173,google,2,126492339559608320,Wed Oct 19 02:58:18 +0000 2011,RT @BeautyNda_Beast don’t waste your time on a guy that isn’t willing to waste his time on you #Google,2
43,1620,twitter,1,126858477942476800,Thu Oct 20 03:13:12 +0000 2011,RT @ahhfuckitsguss: #twitter can be so useful on letting out your feeling when you cant in the real world .,1
44,2161,google,2,126492972735922177,Wed Oct 19 03:00:49 +0000 2011,楽しかった～　#android #google,2
45,1692,apple,2,126403953058529280,Tue Oct 18 21:07:05 +0000 2011,Ud alguna vez ha llamado al servicio de @apple support? Se nota!! Con razon le gusta apple : @,2
46,229,apple,3,125983179877253120,Mon Oct 17 17:15:05 +0000 2011,"Go big or go home @Apple users - here are some apps that make your #4s iPhone ""s-s-super"" http://t.co/t74BQyim via @mashable - MS",3
47,1610,twitter,1,126862443275235328,Thu Oct 20 03:28:58 +0000 2011,I love #twitter #twitterswag,1
48,1192,google,1,126494100252925954,Wed Oct 19 03:05:18 +0000 2011,"#ICS is Sick, good work #google team",1
49,1124,google,1,126516304336257025,Wed Oct 19 04:33:32 +0000 2011,#ThingsWeAllHate that person that acts like they know every fucking thing bitch you not #Google,1
50,367,apple,3,125666909080387584,Sun Oct 16 20:18:20 +0000 2011,"If I was @Apple, I'd publicly denounce and file suit against @Nuance. Then buy 'em on the cheap. #Siri",3
51,1547,microsoft,0,126558437017530368,Wed Oct 19 07:20:57 +0000 2011,#microsoft #SBS 2011 disabling third party software #updates via #gpo,0
52,426,apple,3,125498684401135616,Sun Oct 16 09:09:52 +0000 2011,The battle of voice controlled AI platforms. If they were mobile OS ind - same q's as in IE antitrust case in EU? Vlingo v @google v @apple,3
53,944,apple,0,125863232249405440,Mon Oct 17 09:18:27 +0000 2011,Is it me or does my #iPhone run slower since the #iOS 5 update? @apple @Verizon,0
54,672,apple,1,126009748020658177,Mon Oct 17 19:00:39 +0000 2011,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp,1
55,1997,google,2,126515608887115776,Wed Oct 19 04:30:46 +0000 2011,ملخص مؤتمر سامسونج وقوقل عن نظام اندرويد 4 الجديد http://t.co/enpWtGb4 #android  #android_ar  #google #samsung,2
56,736,apple,1,125523414298533888,Sun Oct 16 10:48:08 +0000 2011,"_ibertaddigital.tv/ iPad a briliant SteveJobs produck ,http://t.co/00ohfLY6
@Apple present... http://t.co/DBbWSDpx",1
57,605,apple,1,126394830791254016,Tue Oct 18 20:30:50 +0000 2011,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone",1
58,303,apple,3,125918441013133312,Mon Oct 17 12:57:50 +0000 2011,iPhone 4S 8MP camera : It´s a SONY. http://t.co/BIqBEhTb @sony @apple #apple #iphone4S #cameras,3
59,2250,google,2,126489023928741890,Wed Oct 19 02:45:08 +0000 2011,Bien repensé l'app photo #nexusprime #google #android avec l'aperçu direct,2
60,408,apple,3,125589884445536257,Sun Oct 16 15:12:16 +0000 2011,has the new iOS5 changed the way the iPad charges? I've noticed I can charge from my laptop & iPhone charger now @toptweets @BBCClick @apple,3
61,100,apple,3,126218596786511873,Tue Oct 18 08:50:33 +0000 2011,I wonder if @Apple OSX will get built-in @Twitter @support like iOS5. That would be very helpful at the moment.,3
62,1727,apple,2,126260304819662849,Tue Oct 18 11:36:17 +0000 2011,"RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/kmJ0o1Ja",2
63,1961,google,2,126520774025678848,Wed Oct 19 04:51:17 +0000 2011,Anschauen! Genial! http://t.co/YLVJAzxz #Google #Nexus #Vorstellung,2
64,208,apple,3,126001758853009409,Mon Oct 17 18:28:55 +0000 2011,Do people loved Steve? Check out this photo from @Apple store http://t.co/jIqBGghC,3
65,2152,google,2,126493534336458752,Wed Oct 19 03:03:03 +0000 2011,#Google The Annie Duke Texas Hold-Em Poker Tournament to Gain Homeless Youth And Domestic Violence Vi... http://t.co/wSGk5WAj #wikileaks,2
66,2100,google,2,126497618258964480,Wed Oct 19 03:19:17 +0000 2011,"'Did #Jews...' on a #Google Search: http://t.co/PyoG47fV &lt;&lt;&lt; ""Kill Jesus, Cause 9/11, Vote for Hitler""",2
67,1980,google,2,126516806360899584,Wed Oct 19 04:35:31 +0000 2011,"AsiaClassifiedToday: Canada Wheat Monopoly, Software Piracy, Swaps Rule: Compliance - Bloombe... http://t.co/2PylmiMs #asia #google #ads",2
68,862,apple,0,126121175926571009,Tue Oct 18 02:23:26 +0000 2011,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!,0
69,251,apple,3,125957972466737152,Mon Oct 17 15:34:55 +0000 2011,@BikerVox @mariomussolini @ios_notch @apple xD thats why i have a back up PC… just incase *hides gun*,3
70,196,apple,3,126012004312956928,Mon Oct 17 19:09:37 +0000 2011,"#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecases
http://t.co/2hyurIiq
#stevejobstributecases
@ikaveri @iamsrk @apple",3
71,1405,microsoft,1,126637126010929152,Wed Oct 19 12:33:38 +0000 2011,V. impressed w/ Image Composite Editor from @MSFTresearch for creating panoramas from individual images. http://t.co/SO7W7spn Tx #Microsoft!,1
72,819,apple,0,126320033369563138,Tue Oct 18 15:33:37 +0000 2011,My @Apple @macbook keyboard will not type :(,0
73,383,apple,3,125638955952640000,Sun Oct 16 18:27:16 +0000 2011,"@Reddclay81 now that were done prasing @Apple 's #iOS5

Everyone go subscribe to notsosuperpro! #shamlessselfpromotion",3
74,650,apple,1,126107965991297024,Tue Oct 18 01:30:56 +0000 2011,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,1
75,482,apple,3,125324916009615360,Sat Oct 15 21:39:23 +0000 2011,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0,3
76,2002,google,2,126514866059100160,Wed Oct 19 04:27:49 +0000 2011,"RT @RaheemHBBTI: RT @capoKenn: i like big glutus & i cannot lie
#GOOGLE&lt;sandra levels lol&gt;",2
77,1232,google,1,126491304036278272,Wed Oct 19 02:54:11 +0000 2011,"On a positive note, advanced control of your data usage is a really great idea ;) #google #nexus",1
78,1651,twitter,0,126873860745330689,Thu Oct 20 04:14:20 +0000 2011,"@8Sunni Yeah shit happens, #Twitter is a real whore sometimes!",0
79,527,google,3,126534362148782080,Wed Oct 19 05:45:17 +0000 2011,"Google Offers to compete with Groupon, Living Social - Pittsburgh Post-Gazette http://t.co/Wwj3xvdm #google",3
80,1626,twitter,0,126882964582838272,Thu Oct 20 04:50:30 +0000 2011,"RT @mainey_maine: RT @ItalianJoya i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, (cont) http://t.co/ ...",0
81,1075,apple,0,125224588253741056,Sat Oct 15 15:00:43 +0000 2011,#Siri went down for a little while last night. Come on @apple! Get your shit together on this launch!,0
82,307,apple,3,125917164535418880,Mon Oct 17 12:52:46 +0000 2011,iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri,3
83,56,apple,3,126323574989520896,Tue Oct 18 15:47:41 +0000 2011,RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/OshPyV2G,3
84,435,apple,3,125433354488254464,Sun Oct 16 04:50:16 +0000 2011,"@Apple iOS5 is all well and good and has nice new features, but I'm still waiting on an app that will go to work for me.",3
85,1699,apple,2,126381904621600768,Tue Oct 18 19:39:28 +0000 2011,sail phoenix next stop----&gt; after quimera rock @apple house,2
86,464,apple,3,125360877359742976,Sun Oct 16 00:02:16 +0000 2011,"Dear @apple, as a hoh/deaf user, can you please add options for stronger and longer vibrate for #iphone4s ? Thank you! #hoh #deaf #ally",3
87,402,apple,3,125614910804738049,Sun Oct 16 16:51:43 +0000 2011,Can someone explain to me how the hell iMessage differs from a text message? @Apple,3
88,923,apple,0,125964314220830722,Mon Oct 17 16:00:07 +0000 2011,any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious,0
89,1105,google,1,126525172969766912,Wed Oct 19 05:08:46 +0000 2011,[GReader Share] Five Reasons Why Google is Winning the War in Photosharing  http://t.co/coQCLb9R - #photography #fotografia #google+,1
90,450,apple,3,125398913313284096,Sun Oct 16 02:33:25 +0000 2011,At @Apple HQ,3
91,1910,google,2,126526815010426880,Wed Oct 19 05:15:18 +0000 2011,Impatient de voir arriver Ice Cream Sandwich sur mon #SGS2 :) #ics #google #samsung,2
92,1958,google,2,126521523220652032,Wed Oct 19 04:54:16 +0000 2011,Доступна официальная Google-страница Galaxy Nexus http://t.co/99TAk4lC #nexus #google #galaxy,2
93,555,google,3,126531560194326530,Wed Oct 19 05:34:09 +0000 2011,#SEOTIPS To find out what web pages of your website are indexed by #Google simply Google --&gt; site:http://t.co/xlsu6iPa,3
94,1437,microsoft,0,126782820709441536,Wed Oct 19 22:12:34 +0000 2011,"@theresamarosy haha k, thought everybody knew #Microsoft sucks.",0
95,486,apple,3,125317300860620801,Sat Oct 15 21:09:07 +0000 2011,"@thatstevegray done that buddy, just  surprised that there's no option from @apple & if you turn it back on it brings back the pics u delete",3
96,891,apple,0,126029733325582336,Mon Oct 17 20:20:04 +0000 2011,“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5,0
97,134,apple,3,126110374549405696,Tue Oct 18 01:40:30 +0000 2011,"Gee, I can't imagine that the maps app graphic from this Samsung website will help their court cases vs. @Apple: http://t.co/PmanMoAh",3
98,610,apple,1,126366123368267776,Tue Oct 18 18:36:46 +0000 2011,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...,1
99,410,apple,3,125588749454278656,Sun Oct 16 15:07:45 +0000 2011,Thanks @apple my girlfriend likes #siri more than me now.,3
100,764,apple,0,126418790706712576,Tue Oct 18 22:06:03 +0000 2011,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...,0
101,1446,microsoft,0,126761988608098304,Wed Oct 19 20:49:47 +0000 2011,"I gave a try to Windows 8 Dev. Preview and it was good but the UI is way too messy right now, waiting for the Beta #microsoft #windows8",0
102,1283,google,0,126533446293127168,Wed Oct 19 05:41:39 +0000 2011,Starting to doubt #google android policy: no released android sources since 2.3.3! Curious for an opensource project to say the least...,0
103,423,apple,3,125528344480587776,Sun Oct 16 11:07:44 +0000 2011,Bouquet for Jobs @Apple Store Nagoya http://t.co/pmEcxPug,3
104,642,apple,1,126164430546403328,Tue Oct 18 05:15:18 +0000 2011,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,1
105,96,apple,3,126243528832593920,Tue Oct 18 10:29:37 +0000 2011,@AsgariAJ #iPhone need to tell @Apple that,3
106,111,apple,3,126171911523794944,Tue Oct 18 05:45:02 +0000 2011,RT @thejjmg: My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/Iqa0ipVt @Apple ah mines being sinking...,3
107,807,apple,0,126343931117047808,Tue Oct 18 17:08:35 +0000 2011,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!,0
108,2193,google,2,126491727673569280,Wed Oct 19 02:55:52 +0000 2011,le nfc intégré aussi dans #nexus #google #android '-',2
109,532,google,3,126533740628422656,Wed Oct 19 05:42:49 +0000 2011,Now it's time for some Ice Cream Sandwich! #Samsung launched it's latest Android Galaxy Nexus phone powered by #Google,3
110,2174,google,2,126492333519802368,Wed Oct 19 02:58:17 +0000 2011,RT @twandroid Messagerie vocale directement dans ICS #google #nexusprime,2
111,1041,apple,0,125334519254482944,Sat Oct 15 22:17:32 +0000 2011,"RT @JoelBurns: Dear @Apple, it's me again. Thanks for beautiful new iOS features. But I miss some of the old ones. Like making calls & t ...",0
112,670,apple,1,126019393460244481,Mon Oct 17 19:38:59 +0000 2011,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out,1
113,2045,google,2,126504793039572992,Wed Oct 19 03:47:47 +0000 2011,"Los fabricantes de móviles y su integración con las redes sociales: Sony Ericson apunta a #Facebook, Apple a #Twitter y Samsung a #Google+",2
114,952,apple,0,125815370513793024,Mon Oct 17 06:08:16 +0000 2011,"Pondering the iOS update... From the sounds of @MikeFerri's difficulties, I may just hold off :/ @Apple, FIX IT!",0
115,1490,microsoft,0,126686075287642112,Wed Oct 19 15:48:08 +0000 2011,How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3  #sun rise #in via @guardian,0
116,2097,google,2,126498266799013888,Wed Oct 19 03:21:51 +0000 2011,@.brown45235: vibro http://t.co/uoIfnklJ #gnu #gome #google #hadopi #health ... http://t.co/V690lfLS,2
117,420,apple,3,125544363945230336,Sun Oct 16 12:11:23 +0000 2011,A Great iPhone 4S Review @engadget @iphone @apple http://t.co/gX07Qywe,3
118,1459,microsoft,0,126744386137624576,Wed Oct 19 19:39:51 +0000 2011,Comp crash #Microsoft :/ Wouldn't get this with an iMac -__-,0
119,1845,google,2,126533775411781632,Wed Oct 19 05:42:57 +0000 2011,Jetzt gerade angeschaut und +1t  #adwords #guide #google #adwords #guide http://t.co/S87lNq2u,2
120,1650,twitter,0,126873912624693249,Thu Oct 20 04:14:32 +0000 2011,#Twitter got me all messed up everytime i compose a text msg i get stressed I only have 140 caracteres! all dis networkin is gettin confusin,0
121,1621,twitter,1,126858393909608448,Thu Oct 20 03:12:52 +0000 2011,"My 3 biggest obsessions: #twitter, #dancemoms, and #desperatehousewives. &lt;3",1
122,254,apple,3,125950941349421057,Mon Oct 17 15:06:59 +0000 2011,Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that...,3
123,1827,apple,2,125206785584922624,Sat Oct 15 13:49:58 +0000 2011,Today very cheap for Hemp For Fuel.And Free shipping for Hemp For Fuel too. http://t.co/8gyJLbMW@Farberware @Apple @Peeler,2
124,678,apple,1,125974505385500672,Mon Oct 17 16:40:37 +0000 2011,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,1
125,1862,google,2,126532561315958784,Wed Oct 19 05:38:08 +0000 2011,#Google Phil Hellmuth and Sam Farha – poker fight: http://t.co/vwaiQDlT – Cost-free Poker University with... http://t.co/F9A0NJnX #wikileaks,2
126,1229,google,1,126491689396338688,Wed Oct 19 02:55:43 +0000 2011,goodbye Bump ... #Google #ICS,1
127,290,apple,3,125922500839342080,Mon Oct 17 13:13:58 +0000 2011,RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,3
128,1187,google,1,126494442290020352,Wed Oct 19 03:06:39 +0000 2011,Wow! RT @dalmaer: WebGL infinite bookcase UI http://t.co/aijYsfHO #google,1
129,1963,google,2,126519943234732032,Wed Oct 19 04:47:59 +0000 2011,#Google eBook: The way we shop is changing and marketing strategies are simply not keeping pace. http://t.co/vJBBjWhE,2
130,479,apple,3,125327281181835264,Sat Oct 15 21:48:47 +0000 2011,In honor of Steve Jobs. @apple #RIPSteve http://t.co/NyjhkNoU,3
131,1067,apple,0,125245780192792576,Sat Oct 15 16:24:55 +0000 2011,"@apple, #siri can't connect to the network -- it's LESS useful that VoiceControl now... :(",0
132,218,apple,3,125992838910586880,Mon Oct 17 17:53:28 +0000 2011,"Big mo: In one week, @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet",3
133,1137,google,1,126510551789604864,Wed Oct 19 04:10:40 +0000 2011,"#Google's #IceCreamSandwich was revealed. I'm getting an #Android whenever I get a new phone, but I'm keeping my #iPhone for now.",1
134,179,apple,3,126040050441011200,Mon Oct 17 21:01:04 +0000 2011,iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.,3
135,1508,microsoft,0,126645939208327168,Wed Oct 19 13:08:39 +0000 2011,#Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/pltitgeI,0
136,457,apple,3,125369026351349760,Sun Oct 16 00:34:39 +0000 2011,@apple should make Siri avalible for all devices not exclusive to the iPhone 4S,3
137,1518,microsoft,0,126635317108289536,Wed Oct 19 12:26:27 +0000 2011,Really hate the #Microsoft #mcp site,0
138,188,apple,3,126016405085757440,Mon Oct 17 19:27:06 +0000 2011,The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple,3
139,1564,twitter,1,126883416280006656,Thu Oct 20 04:52:18 +0000 2011,Okay..I feel slightly more connected to the world and have put #facebook and #twitter on my #blackberry..its not the same..but it helps,1
140,543,google,3,126532316859338752,Wed Oct 19 05:37:09 +0000 2011,"RT @aljonkar: The new Samsung Galaxy nexus..

http://t.co/UtbpXrsj 

#Android
#Samsung 
#Google 
#WoW

CC @kha1989led 
@eisaahmad",3
141,416,apple,3,125581280430669824,Sun Oct 16 14:38:05 +0000 2011,Oops! Apparently @apple is some handle-squatter. Tweetbarassment.,3
142,247,apple,3,125960438981734400,Mon Oct 17 15:44:43 +0000 2011,Packed session on @Apple and @Google at #GartnerSYM. Indicator of today's mindshare?,3
143,674,apple,1,126002597063696384,Mon Oct 17 18:32:14 +0000 2011,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone,1
144,647,apple,1,126116898051076096,Tue Oct 18 02:06:26 +0000 2011,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",1
145,798,apple,0,126358781633368064,Tue Oct 18 18:07:35 +0000 2011,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.,0
146,1223,google,1,126492259993657345,Wed Oct 19 02:57:59 +0000 2011,OMG the #Android 4.0 SDK is available NOW @ http://t.co/OeUrmtLX!! #Google,1
147,1221,google,1,126492415749128192,Wed Oct 19 02:58:36 +0000 2011,RT @eboyee: Dostupan SDK - WOW R.E.S.P.E.C.T. #Google #IceCreamSandwich,1
148,1382,microsoft,1,126709513947594753,Wed Oct 19 17:21:16 +0000 2011,"We have had a great time at #TechEdAfrica thanks to all the sponsors, delegates, #Microsoft and #mimecastsa.",1
149,70,apple,3,126302719882444801,Tue Oct 18 14:24:49 +0000 2011,I wonder If the person who has @apple is holding out for apple to buy it from them,3
150,771,apple,0,126408864387182593,Tue Oct 18 21:26:36 +0000 2011,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple,0
151,1804,apple,2,125421514928558080,Sun Oct 16 04:03:14 +0000 2011,O #piratasdainformatica só não disse se o Bill Gates tbm é dono da @Apple,2
152,1441,microsoft,0,126771575654596608,Wed Oct 19 21:27:53 +0000 2011,#Microsoft Lync crash issue on #Mac OS X 10.7.2 [Fixed] - http://t.co/rzucFejc,0
153,630,apple,1,126311981564178432,Tue Oct 18 15:01:37 +0000 2011,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,1
154,1194,google,1,126493889761787904,Wed Oct 19 03:04:28 +0000 2011,@jessecablek I want it too. Now just wondering who will be carrying it in November. Or direct purchase from #google / #samsung,1
155,1865,google,2,126532467954950144,Wed Oct 19 05:37:45 +0000 2011,RT @ijnetEs: Cinco herramientas de #Google que todo periodista debe conocer. http://t.co/ELypfnyG #periodismodigital,2
156,1855,google,2,126533325702701056,Wed Oct 19 05:41:10 +0000 2011,“جوجل” تطلق “Android Ice Cream Sandwich” ومفاجأة لمستخدمي “Android 2.3″ @7ki3arabi http://t.co/Ytx4jHZm #google #android,2
157,1629,twitter,0,126881698783834112,Thu Oct 20 04:45:28 +0000 2011,I hate #twitter right now..,0
158,1558,microsoft,0,126504435227701248,Wed Oct 19 03:46:22 +0000 2011,"Installing .NET framework, this might take very many years. Come back when your unborn child is in college. #microsoft",0
159,259,apple,3,125944856504827904,Mon Oct 17 14:42:48 +0000 2011,"Now who can guarantee that @apple hd nothing 2 do with @Blackberry RIM server failure?!Days after, over 4million iPhone 4S sold in 3days!?!",3
160,485,apple,3,125317541504626688,Sat Oct 15 21:10:04 +0000 2011,#SaturdayCute: Shit That #Siri Says. @Apple designers knew what people were going to ask the new digital assistant... http://t.co/Ecji1iIo,3
